Timestamp,Step,Population,Births,Deaths,Food Level,Predator Kills,Average Energy,Growth Rate
2026-04-09T21:24:15.248310,0,50,0,0,25,0,18.5,0
2026-04-09T21:24:15.248310,1,50,0,0,0,0,22.0,0.0
2026-04-09T21:24:15.248310,2,50,0,0,0,0,23.0,0.0
2026-04-09T21:24:15.248310,3,50,0,0,0,0,24.0,0.0
2026-04-09T21:24:15.249321,4,46,0,4,0,4,25.11,-0.08
2026-04-09T21:24:15.249321,5,58,12,0,0,0,22.67,0.26
2026-04-09T21:24:15.249321,6,69,11,0,0,0,21.16,0.19
2026-04-09T21:24:15.249321,7,79,11,1,0,1,18.99,0.14
2026-04-09T21:24:15.249321,8,80,6,5,0,4,18.76,0.01
2026-04-09T21:24:15.250342,9,86,9,3,0,3,18.26,0.07
2026-04-09T21:24:15.250342,10,87,5,4,0,4,17.53,0.01
2026-04-09T21:24:15.250342,11,90,5,2,0,1,17.53,0.03
2026-04-09T21:24:15.250342,12,98,8,0,0,0,17.14,0.09
2026-04-09T21:24:15.250342,13,102,8,4,0,3,16.8,0.04
2026-04-09T21:24:15.250342,14,105,7,4,0,4,16.22,0.03
2026-04-09T21:24:15.251348,15,107,5,3,0,3,16.25,0.02
2026-04-09T21:24:15.251348,16,109,5,3,0,3,16.26,0.02
2026-04-09T21:24:15.251348,17,104,0,5,0,4,16.2,-0.05
2026-04-09T21:24:15.251348,18,101,0,3,0,3,16.6,-0.03
2026-04-09T21:24:15.251348,19,99,0,2,0,1,17.03,-0.02
2026-04-09T21:24:15.251348,20,96,0,3,0,3,17.52,-0.03
2026-04-09T21:24:15.251348,21,92,0,4,0,3,18.17,-0.04
2026-04-09T21:24:15.252382,22,84,0,8,0,7,18.54,-0.09
2026-04-09T21:24:15.252382,23,78,0,6,0,6,18.67,-0.07
2026-04-09T21:24:15.252382,24,75,0,3,0,2,19.63,-0.04
2026-04-09T21:24:15.252382,25,70,0,5,0,4,20.96,-0.07
2026-04-09T21:24:15.252382,26,64,0,6,0,5,22.69,-0.09
2026-04-09T21:24:15.252382,27,62,0,2,0,1,23.9,-0.03
2026-04-09T21:24:15.252382,28,60,0,2,0,1,22.68,-0.03
2026-04-09T21:24:15.252382,29,55,0,5,0,5,21.55,-0.08
2026-04-09T21:24:15.252382,30,49,0,6,0,1,23.49,-0.11
2026-04-09T21:24:15.253390,31,44,0,5,0,4,24.55,-0.1
2026-04-09T21:24:15.253390,32,40,0,4,0,2,27.05,-0.09
2026-04-09T21:24:15.253390,33,35,0,5,0,3,31.51,-0.12
2026-04-09T21:24:15.253390,34,26,0,9,0,1,43.38,-0.26
2026-04-09T21:24:15.253390,35,18,0,8,0,1,60.89,-0.31
2026-04-09T21:24:15.253390,36,17,0,1,2,0,67.24,-0.06
2026-04-09T21:24:15.253390,37,16,0,1,6,1,70.44,-0.06
2026-04-09T21:24:15.253390,38,15,0,1,0,1,69.33,-0.06
2026-04-09T21:24:15.253390,39,13,0,2,4,1,67.38,-0.13
2026-04-09T21:24:15.253390,40,11,0,2,8,2,76.73,-0.15
2026-04-09T21:24:15.253390,41,9,0,2,15,1,81.22,-0.18
2026-04-09T21:24:15.253390,42,8,0,1,23,0,85.88,-0.11
2026-04-09T21:24:15.253390,43,7,0,1,32,0,95.93,-0.12
2026-04-09T21:24:15.253390,44,6,0,1,41,1,113.75,-0.14
2026-04-09T21:24:15.253390,45,10,6,2,51,1,48.85,0.67
2026-04-09T21:24:15.253390,46,12,3,1,58,1,32.62,0.2
2026-04-09T21:24:15.253390,47,14,2,0,64,0,31.61,0.17
2026-04-09T21:24:15.253390,48,16,2,0,60,0,30.72,0.14
2026-04-09T21:24:15.253390,49,18,2,0,61,0,31.31,0.12
